state,pop,rt,srt,tp,cr,week,cases
AL,"4,903,185",0.92,35,5.20%,7.5,12/1/20,50.0
AR,"3,017,804",0.97,35,6.90%,9.3,12/1/20,100.0
CA*,"39,512,223",0.99,15,4.40%,7.6,12/1/20,50.0
FL,"21,477,737",1.02,15,6.70%,6.8,12/1/20,150.0
GA,"10,617,423",1.05,15,5.70%,5.1,12/1/20,150.0
IA,"3,155,070",1,12.5,0.00%,6.8,12/1/20,175.0
IL,"12,671,821",1.06,7.5,5.10%,13.5,12/1/20,200.0
IN,"6,732,219",1.18,12.5,10.60%,7.7,12/1/20,225.0
KS,"2,913,314",1.11,35,11.70%,12.9,12/1/20,250.0
MD,"6,045,680",1.04,7.5,7.20%,10.6,12/1/20,275.0
ME,"1,344,212",1.07,10,11.90%,20.4,12/1/20,300.0
MN,"5,639,632",1.05,7.5,9.10%,12.1,12/1/20,325.0
MO,"6,137,428",1.05,35,23.80%,11.2,12/1/20,350.0
MS,"2,976,149",0.91,15,7.40%,4.3,12/1/20,375.0
NJ,"8,882,190",0.9,12.5,8.70%,17.8,12/1/20,400.0
NY,"19,453,561",0.97,10,9.30%,23.4,12/1/20,425.0
OH,"11,689,100",1.09,10,9.00%,13.6,12/1/20,450.0
TN,"6,829,174",0.9,7.5,10.70%,8.5,12/1/20,475.0
TX,"28,995,881",0.93,12.5,6.60%,5.5,12/1/20,500.0
VA,"8,535,519",0.97,10,10.00%,12,12/1/20,525.0
WA,"7,614,893",0.93,12.5,7.30%,9,12/1/20,550.0
WI,"5,822,434",1.06,10,9.80%,17.6,12/1/20,575.0
AL,"4,903,185",0.92,33,5.20%,7.5,12/8/20,70.0
AR,"3,017,804",0.9,34,6.90%,9.3,12/8/20,120.0
CA*,"39,512,223",0.94,14,4.40%,7.6,12/8/20,80.0
FL,"21,477,737",0.94,13,6.70%,6.8,12/8/20,175.0
GA,"10,617,423",0.9,12,5.70%,5.1,12/8/20,180.0
IA,"3,155,070",1,11,0.00%,6.8,12/8/20,207.5
IL,"12,671,821",1.2,8,5.10%,13.5,12/8/20,235.0
IN,"6,732,219",1.2,11,10.60%,7.7,12/8/20,262.5
KS,"2,913,314",1.1,32,11.70%,12.9,12/8/20,290.0
MD,"6,045,680",0.9,8,7.20%,10.6,12/8/20,317.5
ME,"1,344,212",0.9,11,11.90%,20.4,12/8/20,345.0
MN,"5,639,632",0.9,8,9.10%,12.1,12/8/20,372.5
MO,"6,137,428",0.9,36,23.80%,11.2,12/8/20,400.0
MS,"2,976,149",0.96,14,7.40%,4.3,12/8/20,427.5
NJ,"8,882,190",0.9,11,8.70%,17.8,12/8/20,455.0
NY,"19,453,561",1,9,9.30%,23.4,12/8/20,482.5
OH,"11,689,100",1,9,9.00%,13.6,12/8/20,510.0
TN,"6,829,174",1,8,10.70%,8.5,12/8/20,537.5
TX,"28,995,881",1,11,6.60%,5.5,12/8/20,565.0
VA,"8,535,519",1,9,10.00%,12,12/8/20,592.5
WA,"7,614,893",1,11,7.30%,9,12/8/20,620.0
WI,"5,822,434",0.8,8,9.80%,17.6,12/8/20,647.5
AL,"4,903,185",0.9,34,5.20%,7.5,12/15/20,160.0
AR,"3,017,804",0.8,32,6.90%,9.3,12/15/20,260.0
CA*,"39,512,223",0.8,14,4.40%,7.6,12/15/20,140.0
FL,"21,477,737",1.2,13,6.70%,6.8,12/15/20,370.0
GA,"10,617,423",1.1,13,5.70%,5.1,12/15/20,360.0
IA,"3,155,070",1.1,11,0.00%,6.8,12/15/20,411.0
IL,"12,671,821",1,7,5.10%,13.5,12/15/20,462.0
IN,"6,732,219",1,13,10.60%,7.7,12/15/20,513.0
KS,"2,913,314",1,36,11.70%,12.9,12/15/20,564.0
MD,"6,045,680",0.9,6,7.20%,10.6,12/15/20,615.0
ME,"1,344,212",0.8,11,11.90%,20.4,12/15/20,666.0
MN,"5,639,632",1,8,9.10%,12.1,12/15/20,717.0
MO,"6,137,428",1,33,23.80%,11.2,12/15/20,768.0
MS,"2,976,149",0.8,13,7.40%,4.3,12/15/20,819.0
NJ,"8,882,190",1,16,8.70%,17.8,12/15/20,870.0
NY,"19,453,561",1.1,12,9.30%,23.4,12/15/20,921.0
OH,"11,689,100",1.1,9,9.00%,13.6,12/15/20,972.0
TN,"6,829,174",1,7,10.70%,8.5,12/15/20,1023.0
TX,"28,995,881",1,14,6.60%,5.5,12/15/20,1074.0
VA,"8,535,519",1,11,10.00%,12,12/15/20,2200.0
WA,"7,614,893",1,13,7.30%,9,12/15/20,2300.0
WI,"5,822,434",1.3,11,9.80%,17.6,12/15/20,3200.0
AL,"4,903,185",0.8,37,5.20%,7.5,12/21/20,200.0
AR,"3,017,804",0.9,36,6.90%,9.3,12/21/20,320.0
CA*,"39,512,223",0.9,16,4.40%,7.6,12/21/20,210.0
FL,"21,477,737",1.1,13,6.70%,6.8,12/21/20,430.0
GA,"10,617,423",1.2,13,5.70%,5.1,12/21/20,550.0
IA,"3,155,070",0.9,14,0.00%,6.8,12/21/20,585.0
IL,"12,671,821",0.9,7,5.10%,13.5,12/21/20,666.0
IN,"6,732,219",0.9,11,10.60%,7.7,12/21/20,747.0
KS,"2,913,314",1,37,11.70%,12.9,12/21/20,828.0
MD,"6,045,680",1,8,7.20%,10.6,12/21/20,909.0
ME,"1,344,212",1.2,11,11.90%,20.4,12/21/20,990.0
MN,"5,639,632",1.1,4,9.10%,12.1,12/21/20,1071.0
MO,"6,137,428",0.9,30,23.80%,11.2,12/21/20,1152.0
MS,"2,976,149",1,10,7.40%,4.3,12/21/20,1233.0
NJ,"8,882,190",1,10,8.70%,17.8,12/21/20,1314.0
NY,"19,453,561",1,8,9.30%,23.4,12/21/20,1395.0
OH,"11,689,100",1,6,9.00%,13.6,12/21/20,1476.0
TN,"6,829,174",1,7,10.70%,8.5,12/21/20,1557.0
TX,"28,995,881",1,9,6.60%,5.5,12/21/20,1638.0
VA,"8,535,519",1,6,10.00%,12,12/21/20,1719.0
WA,"7,614,893",1,9,7.30%,9,12/21/20,1800.0
WI,"5,822,434",1,7,9.80%,17.6,12/21/20,1881.0
