STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LABEL,WEEKEND,WEEK,SEASON
AL,http://adph.org/influenza/,Influenza Surveillance,9,High,Jan-08-2022,1,2021-22
AK,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,3,Minimal,Jan-08-2022,1,2021-22
AZ,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,4,Low,Jan-08-2022,1,2021-22
AR,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,7,Moderate,Jan-08-2022,1,2021-22
CA,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),9,High,Jan-08-2022,1,2021-22
CO,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,6,Moderate,Jan-08-2022,1,2021-22
CT,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,6,Moderate,Jan-08-2022,1,2021-22
DE,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,6,Moderate,Jan-08-2022,1,2021-22
DC,https://dchealth.dc.gov/node/114982,Influenza Information,9,High,Jan-08-2022,1,2021-22
FL,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,10,High,Jan-08-2022,1,2021-22
GA,https://dph.georgia.gov/epidemiology/influenza/georgia-influenza-activity,Weekly Influenza Surveillance in Georgia,10,High,Jan-08-2022,1,2021-22
HA,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,Hawaii's Influenza Surveillance Program,1,Minimal,Jan-08-2022,1,2021-22
ID,http://flu.idaho.gov,Influenza,6,Moderate,Jan-08-2022,1,2021-22
IL,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,Seasonal Influenza Surveillance Reports,7,Moderate,Jan-08-2022,1,2021-22
IN,https://datavizpublic.in.gov/views/Flu_Dashboard/Overview?%253Aembed=y&%253AshowVizHome=no&%253Ahost_url=https%253A%252F%252Fdatavizpublic.in.gov%252F&%253Aembed_code_version=3&%253A%25E2%2580%2599isGuestRedirectFromVizportal%25E2%2580%2599=%25E2%2580%2598yes%25E2%2580%2599%252F&%253Atabs=no&%253Atoolbar=no&%253AshowAppBanner=false&%253Adisplay_spinner=no&%253AloadOrderID=0,Influenza in Indiana,6,Moderate,Jan-08-2022,1,2021-22
IA,https://idph.iowa.gov/influenza/reports,Iowa Influenza Surveillance Network,9,High,Jan-08-2022,1,2021-22
KS,http://www.kdheks.gov/flu/surveillance.htm,Influenza Information,7,Moderate,Jan-08-2022,1,2021-22
KY,https://chfs.ky.gov/agencies/dph/dehp/Pages/influenza.aspx,Influenza - Flu,8,High,Jan-08-2022,1,2021-22
LA,http://new.dhh.louisiana.gov/index.cfm/page/1591,Influenza,7,Moderate,Jan-08-2022,1,2021-22
